Variable,Number_Outliers,Prop_Outliers
Sensor6,0,0.0
Sensor11,5,0.0085
Sensor14,0,0.0
Sensor15,2,0.0034
Sensor21,6,0.0103
Sensor30,2,0.0034
Sensor31,2,0.0034
Sensor43,0,0.0
Sensor49,2,0.0034
Sensor50,0,0.0
Sensor53,0,0.0
Sensor60,3,0.0051
Sensor64,2,0.0034
Sensor65,3,0.0051
Sensor69,3,0.0051
Sensor70,0,0.0
Sensor76,3,0.0051
Sensor80,2,0.0034
Sensor84,2,0.0034
Sensor98,0,0.0
Sensor142,0,0.0
Sensor150,0,0.0
Sensor179,0,0.0
Sensor180,0,0.0
Sensor187,0,0.0
Sensor190,0,0.0
Sensor191,0,0.0
Sensor192,0,0.0
Sensor193,0,0.0
Sensor194,0,0.0
Sensor195,0,0.0
Sensor227,0,0.0
Sensor230,0,0.0
Sensor231,0,0.0
Sensor232,0,0.0
Sensor233,0,0.0
Sensor234,0,0.0
Sensor235,0,0.0
Sensor236,0,0.0
Sensor237,0,0.0
Sensor238,0,0.0
Sensor241,0,0.0
Sensor242,0,0.0
Sensor243,0,0.0
Sensor244,0,0.0
Sensor257,0,0.0
Sensor258,0,0.0
Sensor259,0,0.0
Sensor260,0,0.0
Sensor261,0,0.0
Sensor262,0,0.0
Sensor263,0,0.0
Sensor264,0,0.0
Sensor265,0,0.0
Sensor266,0,0.0
Sensor267,0,0.0
Sensor277,0,0.0
Sensor285,0,0.0
Sensor306,0,0.0
Sensor312,4,0.0068
Sensor314,0,0.0
Sensor315,0,0.0
Sensor316,0,0.0
Sensor323,0,0.0
Sensor326,0,0.0
Sensor327,0,0.0
Sensor328,0,0.0
Sensor329,0,0.0
Sensor330,0,0.0
Sensor331,0,0.0
Sensor365,0,0.0
Sensor370,0,0.0
Sensor371,0,0.0
Sensor372,0,0.0
Sensor373,0,0.0
Sensor374,0,0.0
Sensor375,0,0.0
Sensor376,0,0.0
Sensor379,0,0.0
Sensor380,0,0.0
Sensor381,0,0.0
Sensor382,0,0.0
Sensor395,0,0.0
Sensor396,0,0.0
Sensor397,0,0.0
Sensor398,0,0.0
Sensor399,0,0.0
Sensor400,0,0.0
Sensor401,0,0.0
Sensor402,0,0.0
Sensor403,0,0.0
Sensor404,0,0.0
Sensor405,0,0.0
Sensor415,0,0.0
Sensor423,0,0.0
Sensor450,0,0.0
Sensor451,0,0.0
Sensor452,0,0.0
Sensor459,0,0.0
Sensor462,0,0.0
Sensor463,0,0.0
Sensor464,0,0.0
Sensor465,0,0.0
Sensor466,0,0.0
Sensor467,0,0.0
Sensor482,0,0.0
Sensor499,0,0.0
Sensor502,0,0.0
Sensor503,0,0.0
Sensor504,0,0.0
Sensor505,0,0.0
Sensor506,0,0.0
Sensor507,0,0.0
Sensor508,0,0.0
Sensor509,0,0.0
Sensor510,0,0.0
Sensor513,0,0.0
Sensor514,0,0.0
Sensor515,0,0.0
Sensor516,0,0.0
Sensor529,0,0.0
Sensor530,0,0.0
Sensor531,0,0.0
Sensor532,0,0.0
Sensor533,0,0.0
Sensor534,0,0.0
Sensor535,0,0.0
Sensor536,0,0.0
Sensor537,0,0.0
Sensor538,0,0.0
Sensor539,0,0.0
Sensor583,1,0.0017
